A,B,C,D,MINA,MINB,MINC,MIND,MAXA,MAXB,MAXC,MAXD,NORMA,NORMB,NORMC,NORMD
-232.8535452,618.3547575,0.024542383,-0.63527981,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.312362504,-0.855419055,-0.003069811,0.07946995
-232.2182654,618.3302151,0.043195054,-0.777988902,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.311510304,-0.855385103,-0.005402924,0.097322059
-231.4402765,618.2870201,0.061847726,-0.920697993,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.310466667,-0.855325348,-0.007736038,0.115174167
-230.5195785,618.2251724,0.080500397,-1.063407085,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.309231593,-0.855239789,-0.010069152,0.133026276
-229.4561715,618.144672,0.099153069,-1.206116176,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.30780508,-0.855128427,-0.012402266,0.150878385
-228.2500553,618.0455189,0.11780574,-1.348825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.30618713,-0.854991261,-0.014735379,0.168730494
-226.90123,617.9277132,0.21780574,-1.308825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.304377742,-0.854828291,-0.027243581,0.163726718
-225.5924047,617.7099074,0.31780574,-1.268825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.302622012,-0.854526983,-0.039751782,0.158722942
-224.3235795,617.3921017,0.41780574,-1.228825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.30091994,-0.854087337,-0.052259983,0.153719166
-223.0947542,616.9742959,0.51780574,-1.188825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.299271527,-0.853509353,-0.064768185,0.148715389
-221.9059289,616.4564902,0.61780574,-1.148825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.297676771,-0.852793031,-0.077276386,0.143711613
-220.7571037,615.8386845,0.71780574,-1.108825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.296135674,-0.851938372,-0.089784588,0.138707837
-219.6482784,615.1208787,0.81780574,-1.068825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.294648235,-0.850945374,-0.102292789,0.133704061
-218.5794531,614.303073,0.91780574,-1.028825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.293214454,-0.849814039,-0.11480099,0.128700285
-217.5506279,613.3852672,1.01780574,-0.988825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.291834332,-0.848544366,-0.127309192,0.123696508
-216.5618026,612.3674615,1.11780574,-0.948825268,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.290507867,-0.847136355,-0.139817393,0.118692732
-215.6129773,611.2496558,1.11780574,-1.082030349,-727.70,65.06001755,-6.300783971,-6.364637416,745.4593385,722.8676448,7.994754547,7.993962651,0.289235061,-0.845590005,-0.139817393,0.135355942
